,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
162,2015/7/30,0.685,0.698,0.65,0.651,106.08,155579900,,strategy3data,0,0.6882,0.795233333,-0.107033333,10909.7
163,2015/7/31,0.63,0.684,0.62,0.634,94.25,146054000,,strategy3data,0,0.6916,0.7775,-0.0859,10560
164,2015/8/3,0.617,0.629,0.598,0.612,70.63,115307700,,strategy3data,0,0.6868,0.762066667,-0.075266667,10625
165,2015/8/4,0.616,0.673,0.616,0.673,127.59,197254100,,strategy3data,0,0.6843,0.746466667,-0.062166667,10957.5
166,2015/8/5,0.673,0.68,0.65,0.653,132.23,198364300,,strategy3data,0,0.6755,0.7302,-0.0547,10795
167,2015/8/6,0.63,0.64,0.614,0.622,118.58,189458500,,strategy3data,0,0.6578,0.715333333,-0.057533333,10760
168,2015/8/7,0.634,0.658,0.625,0.654,145.43,225021600,,strategy3data,0,0.6483,0.7051,-0.0568,10920
169,2015/8/10,0.668,0.719,0.657,0.719,177.08,257273900,,strategy3data,0,0.6528,0.6994,-0.0466,11380
170,2015/8/11,0.724,0.74,0.711,0.717,222.72,307897800,,strategy3data,0,0.6621,0.690666667,-0.028566667,11450
171,2015/8/12,0.696,0.719,0.691,0.694,128.26,181534300,,strategy3data,0,0.6629,0.6833,-0.0204,11137.5
172,2015/8/13,0.683,0.73,0.679,0.73,129.76,184136800,,strategy3data,0,0.6708,0.679333333,-0.008533333,11260
173,2015/8/14,0.734,0.741,0.718,0.721,139.63,190758500,,strategy3data,0,0.6795,0.6778,0.0017,11247.5
174,2015/8/17,0.705,0.732,0.7,0.726,106.19,148595500,,strategy3data,0,0.6909,0.675666667,0.015233333,10972.5
175,2015/8/18,0.728,0.733,0.653,0.653,131.14,188277700,,strategy3data,0,0.6889,0.673733333,0.015166667,10500
176,2015/8/19,0.635,0.677,0.613,0.673,106.63,165257000,,strategy3data,0,0.6909,0.674833333,0.016066667,10500
177,2015/8/20,0.661,0.668,0.633,0.633,77.84,118980400,,strategy3data,0,0.692,0.672466667,0.019533333,10370
178,2015/8/21,0.626,0.636,0.597,0.603,88.56,143055900,,strategy3data,0,0.6869,0.667833333,0.019066667,10040
179,2015/8/24,0.554,0.593,0.543,0.543,63.43,115310900,,strategy3data,0,0.6693,0.662666667,0.006633333,8815
180,2015/8/25,0.489,0.489,0.489,0.489,25.22,51582800,,strategy3data,0,0.6465,0.658033333,-0.011533333,8555
181,2015/8/26,0.44,0.51,0.44,0.44,156.63,343164100,,strategy3data,0,0.6211,0.653866667,-0.032766667,8547.5
182,2015/8/27,0.46,0.477,0.42,0.468,110.59,246151600,,strategy3data,0,0.5949,0.6513,-0.0564,9437.5
183,2015/8/28,0.471,0.502,0.458,0.501,115.34,243746000,,strategy3data,0,0.5729,0.648,-0.0751,9647.5
184,2015/8/31,0.485,0.494,0.458,0.458,80.58,170062500,,strategy3data,0,0.5461,0.641266667,-0.095166667,9267.5
185,2015/9/1,0.46,0.46,0.415,0.415,70.34,162386400,,strategy3data,0,0.5223,0.631833333,-0.109533333,9110
186,2015/9/2,0.401,0.437,0.392,0.402,67.91,165017700,,strategy3data,0,0.4952,0.620533333,-0.125333333,9175
187,2015/9/7,0.411,0.44,0.403,0.409,87.68,208111700,,strategy3data,0,0.4728,0.607533333,-0.134733333,9155
188,2015/9/8,0.404,0.45,0.403,0.45,90.9,214231000,,strategy3data,0,0.4575,0.597566667,-0.140066667,9675
189,2015/9/9,0.452,0.48,0.443,0.476,135.19,291879000,,strategy3data,0,0.4508,0.590966667,-0.140166667,9700
190,2015/9/10,0.454,0.464,0.445,0.448,119.93,263631900,,strategy3data,0,0.4467,0.5851,-0.1384,9677.5
191,2015/9/11,0.443,0.455,0.441,0.45,71.24,158722000,,strategy3data,0,0.4477,0.577233333,-0.129533333,9520
192,2015/9/14,0.454,0.456,0.405,0.405,93.19,218477500,,strategy3data,0,0.4414,0.569033333,-0.127633333,9362.5
193,2015/9/15,0.398,0.41,0.38,0.381,80.97,205120100,0,strategy3data,1,0.4294,0.5606,-0.1312,9357.5
194,2015/9/16,0.382,0.419,0.381,0.419,85.87,215426500,0.0525,strategy3data,1,0.4255,0.554166667,-0.128666667,9700
195,2015/9/17,0.418,0.434,0.406,0.407,159.67,381317000,0.043,strategy3data,1,0.4247,0.5453,-0.1206,9525
196,2015/9/18,0.41,0.413,0.399,0.407,98.13,241674100,0.0451,strategy3data,1,0.4252,0.5371,-0.1119,9502.5
197,2015/9/21,0.4,0.436,0.396,0.431,118.24,282391200,0.081,strategy3data,1,0.4274,0.530733333,-0.103333333,9650
198,2015/9/22,0.43,0.446,0.425,0.436,134.84,310715100,0.0838,strategy3data,1,0.426,0.523466667,-0.097466667,9730
199,2015/9/23,0.425,0.435,0.423,0.427,88.3,205867400,0.0843,strategy3data,1,0.4211,0.513733333,-0.092633333,9522.5
200,2015/9/24,0.43,0.442,0.43,0.437,83.6,191905000,0.1068,strategy3data,1,0.42,0.5044,-0.0844,9485
201,2015/9/25,0.432,0.437,0.416,0.419,91.8,215421700,0.0775,strategy3data,1,0.4169,0.495233333,-0.078333333,9420
202,2015/9/28,0.419,0.427,0.413,0.427,56.12,133459100,0.0947,strategy3data,1,0.4191,0.485133333,-0.066033333,9405
203,2015/9/29,0.419,0.422,0.415,0.418,43.58,104135500,0.0915,strategy3data,1,0.4228,0.475033333,-0.052233333,9242.5
204,2015/9/30,0.424,0.424,0.417,0.42,36.95,87833000,0.0986,strategy3data,1,0.4229,0.464833333,-0.041933333,9207.5
205,2015/10/8,0.462,0.462,0.441,0.449,142.57,314653400,0.1208,strategy3data,1,0.4271,0.458033333,-0.030933333,9580
206,2015/10/9,0.448,0.46,0.445,0.457,84.5,186947200,0.1333,strategy3data,1,0.4321,0.450833333,-0.018733333,9600
207,2015/10/12,0.457,0.503,0.457,0.5,127.84,262599300,,strategy3data,0,0.439,0.4464,-0.0074,10020
208,2015/10/13,0.491,0.504,0.49,0.498,99.58,200764500,,strategy3data,0,0.4452,0.4429,0.0023,9812.5
209,2015/10/14,0.495,0.503,0.489,0.489,87.73,177391100,,strategy3data,0,0.4514,0.4411,0.0103,9705
210,2015/10/15,0.488,0.517,0.484,0.516,107.38,213490400,,strategy3data,0,0.4593,0.442,0.0173,10005
211,2015/10/16,0.522,0.529,0.501,0.518,121.49,235774300,,strategy3data,0,0.4692,0.4446,0.0246,10112.5
212,2015/10/19,0.519,0.523,0.499,0.509,110.98,216845900,,strategy3data,0,0.4774,0.445966667,0.031433333,10092.5
213,2015/10/20,0.506,0.521,0.503,0.521,97.46,190129400,,strategy3data,0,0.4877,0.446633333,0.041066667,10110
214,2015/10/21,0.522,0.523,0.469,0.47,139.95,282290300,,strategy3data,0,0.4927,0.447033333,0.045666667,9937.5
215,2015/10/22,0.472,0.499,0.464,0.497,97.96,203909500,,strategy3data,0,0.4975,0.449766667,0.047733333,10102.5
216,2015/10/23,0.498,0.523,0.495,0.518,121.45,240410500,,strategy3data,0,0.5036,0.453633333,0.049966667,10200
217,2015/10/26,0.532,0.532,0.517,0.524,110.3,210346700,,strategy3data,0,0.506,0.457466667,0.048533333,10177.5
218,2015/10/27,0.519,0.532,0.495,0.528,104.05,202492900,,strategy3data,0,0.509,0.460066667,0.048933333,10162.5
219,2015/10/28,0.52,0.525,0.503,0.506,79.98,155535100,,strategy3data,0,0.5107,0.461066667,0.049633333,10002.5
220,2015/10/29,0.509,0.52,0.503,0.513,70.86,138540800,,strategy3data,0,0.5104,0.463233333,0.047166667,10020
221,2015/10/30,0.508,0.523,0.503,0.515,72.4,140771900,,strategy3data,0,0.5101,0.4654,0.0447,10007.5
222,2015/11/2,0.509,0.52,0.498,0.506,62.24,122308400,,strategy3data,0,0.5098,0.468766667,0.041033333,9850
223,2015/11/3,0.508,0.509,0.5,0.504,36.85,73052700,,strategy3data,0,0.5081,0.472866667,0.035233333,9835
224,2015/11/4,0.504,0.554,0.504,0.554,145.67,273962300,,strategy3data,0,0.5165,0.477366667,0.039133333,10352.5
225,2015/11/5,0.555,0.596,0.55,0.568,173.76,304877300,,strategy3data,0,0.5236,0.482733333,0.040866667,10640
226,2015/11/6,0.566,0.609,0.565,0.604,145.43,247610300,,strategy3data,0,0.5322,0.4893,0.0429,10800
227,2015/11/9,0.6,0.642,0.596,0.63,130.68,212122900,,strategy3data,0,0.5428,0.495933333,0.046866667,10952.5
